                          STARMAP DATA 


 Y      X    CLASS    MODIFIER
188    102     1         0  #8
188    116     0         7
188    142     2         8
188    162     0         0
188    182     0         1
188    185     1         0  #9
188    194     0         7
188    238     0         7
187    10      0         7
187    40      1         0  END #7
187    87      0         7
187    96      1         0  END #8
187    226     0         1
186    35      0         6
186    41      0         0
186    114     0         3
186    147     0         2
185    46      0         3
185    90      0         7
185    129     0         1
185    135     0         4
185    188     0         3
184    233     0         3
184    245     0         1
183    11      0         7
183    54      0         3
183    127     1         0  END #1
183    130     1         0  #10
183    171     0         7
182    28      0         2
182    39      1         0  #11
182    66      1         0  #12
182    102     0         7
182    117     0         2
182    201     1         0  END #9
182    206     1         0  #13
182    220     0         2
182    222     0         3
182    228     0         7
181    110     0         5
181    158     0         1
181    176     3         4
181    177     0         5
181    197     0         2
181    212     0         3
181    242     0         2
180    38      0         3
180    113     0         0
180    131     0         7
179    75      0         2
179    184     0         2
179    201     0         3
179    208     0         2
178    141     0         2
177    111     0         2
177    124     0         0
177    176     0         3
177    216     0         1
176    21      0         7
176    46      0         3
176    55      0         0
176    88      0         7
176    147     1         0  END #10
176    195     0         3
176    235     0         2
175    10      0         7 
175    164     0         7
175    187     0         0
175    194     2         2
175    204     0         4
174    11      0         2
174    96      0         1
174    153     0         7
174    156     0         2
174    198     1         0  END #5
174    209     1         0  #14
174    223     0         3
174    234     0         3
174    243     0         7
173    32      0         7
173    93      0         3
173    120     0         1
173    135     0         7
173    213     1         0  END #6
173    219     0         2
172    72      0         3
171    21      0         7
171    41      0         1
171    70      0         4
171    203     0         2
171    211     0         3
170    108     0         7
169    9       0         5
169    27      0         3
169    76      0         7
169    94      0         7
169    173     0         2
169    224     0         2
168    127     0         7
168    156     0         7
168    192     0         4
167    149     1         0  END #2
167    184     0         1
167    205     0         3
167    212     0         5
167    222     1         0  END #13
167    240     0         4
166    18      0         1
166    138     0         1
166    163     0         3
166    201     0         2
165    22      0         3
165    26      0         2
165    138     2         1
165    188     0         3
165    196     0         3
165    232     0         3
164    48      0         3
164    104     0         4
164    110     0         3
163    20      0         7
163    65      0         3
163    92      0         7
163    97      0         7
163    110     0         3
163    231     0         0
162    32      0         1
162    56      0         2
162    153     0         7  HOME WORLD SYSTEM - VELOX
162    200     0         2
162    211     0         3
162    221     0         2
161    10      0         7
161    72      0         1
161    107     0         7
160    85      0         3
160    122     0         7
160    134     0         2
159    15      0         7 
159    96      0         3
159    112     0         2
159    207     0         2
159    243     0         1
158    74      3         2
158    143     0         0
158    181     0         3
158    192     0         2
158    232     0         3
157    71      0         7
157    85      0         7
157    105     0         3
156    57      0         7
156    131     0         0
156    182     0         0
156    185     0         1
156    196     0         7
156    229     0         7
155    97      0         0
155    130     3         3
155    199     0         3
154    25      0         6
154    74      0         2
154    102     0         0
154    123     0         2
154    161     0         2
154    176     3         3
154    218     0         7
153    143     0         3
153    215     0         1
153    226     0         2
153    239     0         2
152    109     0         7
152    135     0         7
151    187     0         3
151    204     0         7
150    64      0         7  HOME WORLD SYSTEM - SPEMIN
150    148     0         3
149    29      0         7
148    54      1         0  #15
148    57      0         0
148    59      1         0  #16
148    76      0         7
148    119     0         2
148    156     0         7
148    164     0         7
148    231     0         3
147    52      1         0  #17
147    91      0         7
147    141     0         1
147    196     0         7
147    206     3         2
147    236     0         7
146    52      0         0         
146    54      0         0
146    103     0         1
146    147     0         0
146    151     2         2
146    180     1         0  #18
146    210     0         7
145    41      0         7
145    55      1         0  END #16
145    58      1         0  END #15
145    142     0         2
145    146     0         0
144    54      0         1
144    55      2         10                
144    87      0         7
144    94      0         2
144    104     1         0  END #12
144    223     0         7
143    52      0         0
143    56      1         0  #19
143    58      1         0  #20
143    127     0         3
143    148     2         4
143    167     0         7
143    188     0         7
143    203     3         2
142    7       0         2
142    51      1         0  END #19
142    57      0         0
142    203     0         0
142    217     0         3  HOME WORLD SYSTEM - JAGGEN
142    240     0         1
141    177     0         7
140    55      1         0  END #17
140    90      0         3
140    153     0         4
140    230     0         7
139    60      1         0  END #20
139    205     0         7
139    209     0         7
138    27      0         0
138    112     0         7
138    198     0         3
137    68      0         7
137    100     3         1
137    121     0         3
137    148     0         6
137    204     0         2
137    206     0         7
137    233     0         3
136    16      0         0
136    31      0         7
136    86      0         3
136    150     2         4
135    12      0         3
135    16      1         0  #21
135    23      1         0  END #21
135    72      0         0
135    122     0         0
135    131     0         7
135    202     0         7
135    227     0         7
134    61      0         2
133    81      0         7
133    115     0         1
133    121     0         2
133    124     0         2
133    182     0         2
133    203     0         1
133    207     0         3
133    213     0         2
133    248     0         7
132    79      0         5 
132    94      3         1
132    97      0         2
132    122     0         4
132    154     0         1
132    197     0         5
132    201     0         2
132    222     0         2
131    11      0         1
131    82      0         2
131    166     0         1
130    87      0         7
130    164     0         7
130    190     0         3
129    137     0         2
129    146     0         3
129    230     0         7
128    64      0         1
128    84      0         2
128    202     0         5
128    238     0         4
127    14      0         7
127    41      0         3
127    80      0         3
127    166     0         7
127    210     0         7
126    160     0         7
126    179     0         7
125    73      0         7
125    103     0         2
125    118     0         7
124    7       0         7
124    30      0         7
124    197     0         2
123    33      0         7
123    94      1         0  #22
123    112     1         0  END #22
123    130     0         7
123    172     0         7
122    27      0         7
122    141     0         2
122    186     0         7
122    232     0         2
121    63      1         0  #23 
121    76      0         7
121    105     0         0
121    125     1         0  #24
121    174     1         0  END #18
120    169     1         0  END #3
120    211     0         3
119    153     1         0  #25
119    220     0         5
119    227     0         3
118    41      0         7
118    113     0         7
118    149     0         7
118    171     0         3  OLD EARTH
118    180     0         3
118    197     0         3
117    13      0         3
117    98      0         7
117    167     1         0  #26
117    177     0         2
117    190     0         2
117    201     0         4
117    222     0         7
116    57      0         2
116    82      0         7
116    94      0         7
116    101     0         3
116    162     0         7
116    171     0         7
116    240     0         7
115    101     0         7
115    103     0         7
115    238     0         2
114    46      0         2
114    116     0         7
114    143     0         3
114    171     0         2
114    207     0         2
114    221     0         2
114    228     0         1
113    70      1         0  END #23
113    128     0         7
113    167     0         0
113    194     0         7
113    218     0         7
112    33      0         7
112    67      0         3
112    91      0         3
111    19      0         0         
111    123     0         2
111    145     0         0
111    193     0         2
110    112     0         7
110    154     0         7         
110    224     0         7
109    71      0         7
109    121     0         7
109    125     0         3  ARTH !!!!!!!!!!
109    132     0         7
109    218     0         7
108    28      0         3
108    54      0         3
108    89      0         0
108    102     0         7
108    122     0         3
108    202     0         3
108    232     0         7
107    30      1         0  END #11
107    82      0         7
107    118     0         7
107    145     0         7
107    161     0         7
107    220     3         4
106    93      0         7
106    99      1         0  #27
106    123     1         0  #28
106    181     1         0  END #24
106    189     0         6
106    204     1         0  #29
106    207     0         7
105    33      0         2
105    42      0         2  HOME WORLD SYSTEM - SEEAYTI
105    56      0         7
105    131     1         0  #30
105    136     1         0  END #30
105    198     0         0
105    230     0         2
104    91      2         8
104    121     1         0  END #25
104    210     0         2
104    240     0         7
103    28      0         7
103    66      0         7
103    87      0         0
103    124     0         7
103    129     1         0  #31
103    177     0         3
103    205                  THE BLACK PROBE IS NEAR!!!
102    80      0         3
102    105     0         3
102    131     2         2
102    165     0         7
102    216     0         7
101    19      0         7
101    47      0         7
101    91      0         0
101    107     0         7
101    133     2         3
100    117     0         0
100    130     1         0  #32
100    226     0         7
99     99      0         6  ROD'S STAR
98     38      0         3
98     76      0         2
98     112     0         7
98     126     0         3
98     181     1         0  END #14
98     202     0         3
98     225     0         2
98     244     0         3
97     16      0         3
97     52      0         3
97     63      0         0
97     128     0         0
97     152     0         3
97     223     0         3
96     133     2         5
96     213     0         7
96     235     0         2
95     24      0         7
95     44      0         2
95     122     3         2
95     132     0         7
95     180     0         7
95     216     0         3
95     228     0         7
95     237     0         1
94     10      0         7
94     92      0         7
94     101     0         2
94     136     0         0
93     131     0         7
93     146     0         7
92     34      0         7
92     62      0         7
92     156     0         7
92     188     0         2
92     202     0         3
92     225     0         0
91     40      0         7          
91     70      1         0  #33    
91     183     1         0  END #29
90     30      0         7
90     164     0         5
90     165     0         5
90     195     0         5
90     199     2         2
90     222     0         0
89     18      0         7
89     130     1         0  #34
89     132     0         7  HOME WORLD SYSTEM - MECHAN
89     134     0         0
89     149     0         7
89     164     0         5
89     165     0         5
89     181     0         1
89     211     0         2
88     32      0         2
88     42      0         3
88     55      0         7
88     114     1         0  #35
88     141     0         7
88     147     0         3
88     163     3         4
88     166     0         6
88     191     2         2
88     195     2         2
88     213     0         7
87     48      0         0
87     150     0         7
87     209     0         3
87     221     0         7
86     34      0         1
86     68      0         1
86     107     1         0  END #35
86     189     0         7
86     223     0         2
85     25      0         2
85     30      0         3
85     75      0         3
85     221     0         3
85     232     0         3
84     52      0         7
84     55      1         0  #36
84     125     0         7
84     144     0         7
84     177     0         2
83     48      0         0
83     70      0         3
83     88      0         7
83     107     0         7
83     168     0         7
83     195     0         6
82     44      1         0  #37
82     153     2         2
82     207     0         7
82     246     0         0
81     138     0         7
81     170     0         7
81     200     0         7
80     191     0         3
80     201     0         2
80     223     1         0  END #26
79     97      1         0  #38
79     151     2         3
79     185     0         7
79     216     0         7
79     241     0         4
78     19      0         3
78     95      1         0  END #27
78     125     3         2
77     16      1         0  #39
77     23      1         0  END #39
77     98      0         1
77     162     0         7
77     167     3         1
77     180     0         3
76     13      0         2
76     28      0         7
76     56      0         2
76     67      0         7
76     98      1         0  END #34
76     116     0         1
76     132     0         3
76     151     2         3
76     214     0         2
76     226     0         3
75     44      1         0  END #37
75     95      0         7
75     98      0         3
75     101     0         5
75     113     0         7
75     197     0         3
74     46      0         6
74     118     0         1
74     149     2         2
73     4       0         3
73     38      0         2
73     71      0         2
73     75      0         2
73     86      0         7
73     96      1         0  #40
73     98      0         2
73     104     1         0  END #36
73     115     0         2
73     234     0         2
72     33      0         3
72     45      3         4
72     67      0         3
72     101     1         0  END #32
72     175     0         7
72     181     0         0
71     18      0         1
71     62      0         7
71     99      1         0  END #33
71     144     0         6
70     63      0         3
70     86      0         3
70     206     1         0  #41          
  OVERLAY      3         3
69     178     0         3
69     240     0         3
68     151     0         3
68     176     0         3
67     40      0         1
67     56      0         2
67     127     1         0  END #38
67     190     0         7
67     193     0         2
67     219     0         3
67     233     0         7
66     75      0         7
66     93      1         0  #42
66     107     0         7
66     192     0         1
66     231     0         7
65     47      0         3
65     58      0         5
65     67      0         2
65     229     0         6
65     233     0         7
65     235     0         2
64     12      0         2
64     32      0         2
64     121     0         7
63     39      0         7
63     231     0         2
62     9       0         3
62     35      0         0
62     65      0         3
62     95      0         2
62     126     0         0
62     133     0         2
62     171     1         0  #43 
62     184     0         3
62     235     0         5
61     7       0         5
61     23      0         1
61     42      0         7
61     114     3         3
61     175     0         2
61     192     0         5
61     207     0         7
61     214     0         0
60     13      0         3
60     110     3         2
60     229     2         10
59     21      1         0  #44
59     33      0         3
59     86      0         0
59     115     0         5
59     155     0         7
59     225     0         5
58     171     0         3
58     231     0         0
57     28      0         2
57     75      1         0  END #40
  OVERLAY      3         2
57     162     0         1
57     163     0         2  HOME WORLD SYSTEM - ELOWAN
57     171     0         6
57     174     0         7
57     199     0         3
57     203     0         1
57     240     0         3
56     3       0         0
56     22      1         0  #45
56     56      0         2
56     75      0         4
56     91      0         7
56     97      0         3
56     147     0         2
56     158     1         0  END #31
56     202     0         7
55     35      0         5
55     106     0         3
55     128     0         1
55     204     0         3
54     15      0         1
54     33      0         2
54     96      0         3
54     172     0         7
53     70      0         2
53     81      0         0
53     86      0         6
53     117     0         0
53     141     0         7
53     187     0         7
53     202     0         3
52     50      0         3
52     78      0         1
52     86      3         2
52     98      0         3
52     156     0         3
52     183     0         7
52     205     0         2
52     228     0         0
52     247     0         3
51     7       0         2
51     61      0         7
51     197     3         2
50     18      0         3
50     21      1         0  END #45
50     36      3         1
50     76      0         1  HOME WORLD SYSTEM - GAZURTOID
50     94      0         2
50     137     0         2
49     23      0         7
48     30      0         7
48     131     0         2
48     175     0         7
48     201     0         7
47     14      1         0  END #44
47     25      0         0
47     44      0         5
47     46      0         7
47     191     0         1
47     208     0         7
47     234     2         5
46     18      1         0  #46
46     42      0         7
46     85      0         3
46     111     0         3
46     137     0         3
45     80      3         1
45     98      0         1
45     153     0         0
45     178     0         0
45     217     0         7
44     29      0         1
44     36      0         7
43     13      1         0  END #46
43     21      0         6
43     75      0         2
43     93      0         3
43     125     0         3
42     10      0         7
42     126     0         1
42     130     0         7
42     145     0         0
42     148     2         7
42     164     0         7
42     176     0         0
42     177     0         1
42     196     0         3
41     64      0         5
41     75      0         7
40     32      0         7
40     52      0         1
40     77      0         2
40     212     0         2
39     15      0         3
39     55      0         6
39     63      0         7
39     67      0         2
39     107     0         2
39     112     0         2
39     173     0         7
39     225     0         2
39     235     0         2
38     6       0         2
38     122     0         2
38     135     1         0  END #42
38     223     0         1
37     160     0         3
37     205     0         3
36     28      0         1
36     102     0         0
36     119     0         3
36     125     0         5
36     204     0         2
36     224     0         3
36     226     0         7
36     243     0         7
35     42      0         2
35     88      0         7
35     123     0         7
35     173     0         2
35     175     0         7
35     181     0         3
34     20      0         1
34     27      0         2
34     82      0         4
34     159     1         0  #47
33     97      0         5
33     100     3         5
33     114     0         3
33     129     1         0  #48
33     177     0         7
33     221     1         0  END #43
33     228     0         7
32     11      0         7
32     59      0         0
32     108     0         7
32     112     0         3
32     119     0         2
32     192     0         2
32     215     1         0  END #41
32     218     0         0
31     59      2         4
31     114     0         3
31     116     0         1  HOME WORLD SYSTEM - THRYNN
31     123     3         2
31     129     1         0  END #47
31     137     0         1
31     241     0         1  HOME WORLD SYSTEM - PHLEGMAK
30     37      0         7
30     110     0         2
30     161     0         3
30     219     1         0  END #48
30     222     0         2
29     32      0         3
29     54      0         2
28     20      0         7
28     76      0         7
28     145     0         7
28     198     0         2
28     234     0         2
27     32      1         0  #49
27     59      0         1
27     103     0         2
27     111     0         7
27     171     0         4
27     233     0         2
27     235     0         1
26     24      0         2
26     107     0         4
26     127     0         7
26     206     0         4
25     35      1         0  END #28
25     37      0         1
25     41      0         1
25     57      0         7
25     152     0         3
24     22      0         0
24     47      2         7
24     100     0         3
24     205     3         5
24     214     0         4
23     40      0         2
23     43      0         7
23     82      0         1
23     121     0         7
23     151     0         2
23     185     0         1
23     202     0         6
22     33      0         5
22     68      0         0
22     96      0         6
22     241     0         3
21     88      1         0  #50
21     187     0         3
20     18      0         2
20     50      0         6
20     55      0         0
20     69      0         5
20     154     0         5
19     13      1         0  END #49
19     93      1         0  END #50
19     102     0         4
18     5       0         3
18     23      0         3
18     93      0         3
18     127     0         3
18     139     0         7
18     148     0         3
18     197     0         0
17     48      2         6
17     174     2         4
17     191     0         5
17     223     0         4
16     34      0         3
16     134     2         4
16     163     0         1
16     233     0         7
15     29      0         4
15     67      0         3
15     189     0         3
14     67      0         3
14     74      0         7
14     133     0         6
14     216     0         1
14     230     0         2
13     14      0         1
13     12      0         7
13     43      0         2
13     136     0         4
13     173     0         2
13     174     0         0
13     185     0         7
13     201     0         3
13     214     0         2
13     234     0         1
12     26      0         6         
12     45      2         3
12     86      0         1
12     129     0         2
12     135     2         3
12     154     0         3
12     193     0         2
12     228     0         0
11     9       0         7
11     35      0         7
11     107     0         1
11     137     0         1
11     164     0         3
11     202     0         2
11     231     0         5
11     239     0         7
10     174     2         4
9      12      0         6
9      56      0         7
9      177     0         3
9      247     0         3
8      124     0         3
8      228     0         1
7      5       0         2
7      58      0         1
7      62      0         2
7      94      0         3
7      144     0         2
6      81      0         0
6      86      0         0
6      180     0         4
5      40      0         2
4      
3      18      0         3
3      207     0         6
3      245     0         3
2      31      0         0
2      37      0         2
2      170     0         7
2      189     0         2
1      185     0         0         
1      243     0         4
1      244     0         2
0      228     0         2
